	cases_new
	Pahang
date	
2020-01-25	0
2020-01-26	0
2020-01-27	0
2020-01-28	0
2020-01-29	0
2020-01-30	0
2020-01-31	0
2020-02-01	0
2020-02-02	0
2020-02-03	0
2020-02-04	0
2020-02-05	0
2020-02-06	0
2020-02-07	0
2020-02-08	0
2020-02-09	0
2020-02-10	0
2020-02-11	0
2020-02-12	0
2020-02-13	0
2020-02-14	0
2020-02-15	0
2020-02-16	0
2020-02-17	0
2020-02-18	0
2020-02-19	0
2020-02-20	0
2020-02-21	0
2020-02-22	0
2020-02-23	0
2020-02-24	0
2020-02-25	0
2020-02-26	0
2020-02-27	0
2020-02-28	0
2020-02-29	0
2020-03-01	0
2020-03-02	0
2020-03-03	0
2020-03-04	0
2020-03-05	0
2020-03-06	0
2020-03-07	0
2020-03-08	0
2020-03-09	0
2020-03-10	0
2020-03-11	1
2020-03-12	0
2020-03-13	1
2020-03-14	0
2020-03-15	7
2020-03-16	10
2020-03-17	2
2020-03-18	11
2020-03-19	0
2020-03-20	4
2020-03-21	0
2020-03-22	3
2020-03-23	16
2020-03-24	1
2020-03-25	7
2020-03-26	2
2020-03-27	5
2020-03-28	14
2020-03-29	12
2020-03-30	3
2020-03-31	3
2020-04-01	9
2020-04-02	3
2020-04-03	13
2020-04-04	24
2020-04-05	7
2020-04-06	3
2020-04-07	5
2020-04-08	3
2020-04-09	14
2020-04-10	4
2020-04-11	27
2020-04-12	11
2020-04-13	0
2020-04-14	11
2020-04-15	17
2020-04-16	8
2020-04-17	1
2020-04-18	2
2020-04-19	5
2020-04-20	2
2020-04-21	8
2020-04-22	6
2020-04-23	1
2020-04-24	1
2020-04-25	1
2020-04-26	0
2020-04-27	0
2020-04-28	0
2020-04-29	5
2020-04-30	1
2020-05-01	3
2020-05-02	8
2020-05-03	0
2020-05-04	0
2020-05-05	0
2020-05-06	0
2020-05-07	0
2020-05-08	1
2020-05-09	0
2020-05-10	2
2020-05-11	4
2020-05-12	0
2020-05-13	3
2020-05-14	8
2020-05-15	5
2020-05-16	7
2020-05-17	1
2020-05-18	0
2020-05-19	2
2020-05-20	0
2020-05-21	1
2020-05-22	2
2020-05-23	3
2020-05-24	0
2020-05-25	0
2020-05-26	0
2020-05-27	0
2020-05-28	1
2020-05-29	1
2020-05-30	0
2020-05-31	15
2020-06-01	0
2020-06-02	0
2020-06-03	0
2020-06-04	1
2020-06-05	1
2020-06-06	0
2020-06-07	0
2020-06-08	0
2020-06-09	0
2020-06-10	0
2020-06-11	0
2020-06-12	0
2020-06-13	2
2020-06-14	0
2020-06-15	0
2020-06-16	0
2020-06-17	0
2020-06-18	0
2020-06-19	0
2020-06-20	0
2020-06-21	0
2020-06-22	0
2020-06-23	0
2020-06-24	0
2020-06-25	0
2020-06-26	0
2020-06-27	0
2020-06-28	0
2020-06-29	0
2020-06-30	0
2020-07-01	0
2020-07-02	0
2020-07-03	0
2020-07-04	0
2020-07-05	0
2020-07-06	0
2020-07-07	0
2020-07-08	0
2020-07-09	0
2020-07-10	0
2020-07-11	0
2020-07-12	0
2020-07-13	0
2020-07-14	0
2020-07-15	0
2020-07-16	0
2020-07-17	0
2020-07-18	0
2020-07-19	0
2020-07-20	0
2020-07-21	0
2020-07-22	0
2020-07-23	1
2020-07-24	3
2020-07-25	0
2020-07-26	1
2020-07-27	0
2020-07-28	0
2020-07-29	0
2020-07-30	0
2020-07-31	0
2020-08-01	0
2020-08-02	0
2020-08-03	0
2020-08-04	0
2020-08-05	0
2020-08-06	0
2020-08-07	0
2020-08-08	0
2020-08-09	0
2020-08-10	0
2020-08-11	0
2020-08-12	0
2020-08-13	0
2020-08-14	0
2020-08-15	0
2020-08-16	0
2020-08-17	0
2020-08-18	0
2020-08-19	0
2020-08-20	0
2020-08-21	0
2020-08-22	0
2020-08-23	0
2020-08-24	0
2020-08-25	0
2020-08-26	0
2020-08-27	0
2020-08-28	0
2020-08-29	0
2020-08-30	0
2020-08-31	0
2020-09-01	0
2020-09-02	1
2020-09-03	0
2020-09-04	0
2020-09-05	0
2020-09-06	0
2020-09-07	0
2020-09-08	0
2020-09-09	0
2020-09-10	0
2020-09-11	0
2020-09-12	0
2020-09-13	0
2020-09-14	0
2020-09-15	0
2020-09-16	0
2020-09-17	0
2020-09-18	0
2020-09-19	0
2020-09-20	0
2020-09-21	0
2020-09-22	0
2020-09-23	0
2020-09-24	0
2020-09-25	1
2020-09-26	1
2020-09-27	4
2020-09-28	0
2020-09-29	0
2020-09-30	2
2020-10-01	1
2020-10-02	1
2020-10-03	0
2020-10-04	0
2020-10-05	1
2020-10-06	0
2020-10-07	2
2020-10-08	1
2020-10-09	0
2020-10-10	0
2020-10-11	0
2020-10-12	0
2020-10-13	1
2020-10-14	0
2020-10-15	0
2020-10-16	1
2020-10-17	0
2020-10-18	0
2020-10-19	1
2020-10-20	0
2020-10-21	1
2020-10-22	2
2020-10-23	1
2020-10-24	0
2020-10-25	0
2020-10-26	0
2020-10-27	0
2020-10-28	0
2020-10-29	1
2020-10-30	0
2020-10-31	1
2020-11-01	0
2020-11-02	1
2020-11-03	0
2020-11-04	0
2020-11-05	0
2020-11-06	0
2020-11-07	0
2020-11-08	0
2020-11-09	0
2020-11-10	0
2020-11-11	0
2020-11-12	0
2020-11-13	0
2020-11-14	0
2020-11-15	0
2020-11-16	0
2020-11-17	0
2020-11-18	0
2020-11-19	0
2020-11-20	0
2020-11-21	0
2020-11-22	0
2020-11-23	0
2020-11-24	0
2020-11-25	2
2020-11-26	0
2020-11-27	3
2020-11-28	0
2020-11-29	1
2020-11-30	2
2020-12-01	0
2020-12-02	1
2020-12-03	4
2020-12-04	15
2020-12-05	2
2020-12-06	4
2020-12-07	1
2020-12-08	33
2020-12-09	119
2020-12-10	45
2020-12-11	96
2020-12-12	79
2020-12-13	28
2020-12-14	0
2020-12-15	8
2020-12-16	13
2020-12-17	4
2020-12-18	6
2020-12-19	16
2020-12-20	12
2020-12-21	12
2020-12-22	6
2020-12-23	45
2020-12-24	12
2020-12-25	11
2020-12-26	19
2020-12-27	9
2020-12-28	11
2020-12-29	288
2020-12-30	48
2020-12-31	15
2021-01-01	16
2021-01-02	29
2021-01-03	21
2021-01-04	12
2021-01-05	25
2021-01-06	11
2021-01-07	25
2021-01-08	28
2021-01-09	36
2021-01-10	41
2021-01-11	46
2021-01-12	96
2021-01-13	143
2021-01-14	113
2021-01-15	70
2021-01-16	65
2021-01-17	61
2021-01-18	84
2021-01-19	31
2021-01-20	52
2021-01-21	48
2021-01-22	61
2021-01-23	75
2021-01-24	63
2021-01-25	46
2021-01-26	15
2021-01-27	42
2021-01-28	72
2021-01-29	67
2021-01-30	51
2021-01-31	74
2021-02-01	54
2021-02-02	63
2021-02-03	66
2021-02-04	78
2021-02-05	51
2021-02-06	48
2021-02-07	34
2021-02-08	28
2021-02-09	32
2021-02-10	14
2021-02-11	21
2021-02-12	30
2021-02-13	13
2021-02-14	10
2021-02-15	15
2021-02-16	19
2021-02-17	14
2021-02-18	52
2021-02-19	26
2021-02-20	42
2021-02-21	9
2021-02-22	7
2021-02-23	11
2021-02-24	8
2021-02-25	19
2021-02-26	21
2021-02-27	8
2021-02-28	11
2021-03-01	8
2021-03-02	3
2021-03-03	36
2021-03-04	13
2021-03-05	38
2021-03-06	17
2021-03-07	12
2021-03-08	3
2021-03-09	2
2021-03-10	1
2021-03-11	7
2021-03-12	4
2021-03-13	8
2021-03-14	5
2021-03-15	17
2021-03-16	2
2021-03-17	3
2021-03-18	14
2021-03-19	13
2021-03-20	3
2021-03-21	11
2021-03-22	42
2021-03-23	38
2021-03-24	43
2021-03-25	10
2021-03-26	6
2021-03-27	30
2021-03-28	32
2021-03-29	5
2021-03-30	16
2021-03-31	36
2021-04-01	14
2021-04-02	57
2021-04-03	35
2021-04-04	11
2021-04-05	37
2021-04-06	11
2021-04-07	23
2021-04-08	12
2021-04-09	19
2021-04-10	13
2021-04-11	22
2021-04-12	32
2021-04-13	14
2021-04-14	13
2021-04-15	34
2021-04-16	47
2021-04-17	20
2021-04-18	15
2021-04-19	32
2021-04-20	17
2021-04-21	81
2021-04-22	29
2021-04-23	39
2021-04-24	22
2021-04-25	33
2021-04-26	34
2021-04-27	35
2021-04-28	15
2021-04-29	92
2021-04-30	54
2021-05-01	47
2021-05-02	45
2021-05-03	55
